# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# File: C:\data\training\NoCSimp_stat\.csv
# Generated on: Wed May 02 14:21:12 2012

,C:/data/training/NoCSimp_stat/NoCSimp.qpf  Revision NoCSimp,C:/data/training/NoCSimp_stat/NoCSimp.qpf  Revision NocSimp2,C:/data/training/NoCSimp_stat/NoCSimp.qpf  Revision rev3,C:/data/training/NoCSimp_stat/NoCSimp.qpf  Revision rev4,C:/data/training/NoCSimp_stat/NoCSimp.qpf  Revision rev5,C:/data/training/NoCSimp_stat/NoCSimp.qpf  Revision rev6,C:/data/training/NoCSimp_stat/NoCSimp.qpf  Revision rev7,
Analysis & Synthesis,,,,,,,,
Analysis & Synthesis Status, Successful - Sat Jan 15 16:49:59 2011, Successful - Mon Jan 24 16:02:22 2011, Successful - Mon Jan 24 16:07:41 2011, Successful - Sun Jan 30 15:10:41 2011, Successful - Sun Jan 30 21:32:44 2011, Successful - Sat Mar 19 23:58:19 2011, Successful - Sun Jan 30 21:43:42 2011,
Quartus II Version, 7.2 Build 151 09/26/2007 SJ Full Version, 7.2 Build 151 09/26/2007 SJ Full Version, 7.2 Build 151 09/26/2007 SJ Full Version, 7.2 Build 151 09/26/2007 SJ Full Version, 7.2 Build 151 09/26/2007 SJ Full Version, 9.1 Build 222 10/21/2009 SJ Full Version, 7.2 Build 151 09/26/2007 SJ Full Version,
Revision Name, NoCSimp, NocSimp2, rev3, rev4, rev5, rev6, rev7,
Top-level Entity Name, NoCSimp2, NoCSimp3_m_inout, NoCSimp3_m_inout, NoCSimp3_m_inout, NoCSimp3_m_inout, NoCSimp3_sw, NoCSimp3_m_inout,
Family, Cyclone II, Cyclone II, Cyclone II, Cyclone II, Cyclone II, Cyclone II, Cyclone II,
Total logic elements, 124, 236, 236, 254, 254, 368, 254,
Total combinational functions, 124, 199, 190, 203, 197, 196, 203,
Dedicated logic registers, 62, 236, 236, 254, 254, 250, 254,
Total registers, 62, 236, 236, 254, 254, 250, 254,
Total pins, 209, 417, 417, 431, 431, 392, 431,
Total virtual pins, 0, 0, 0, 0, 0, 0, 0,
Total memory bits, 4,096, 4,096, 4,096, 1,184, 1,184, 592, 1,184,
